Station ID,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
837,29.125,34.375,42.875,39.625,44.75,31,19.5,27.875,38.75,35,46.5,54.25,34.429,42,53.625,27.25,23.625,35,67.625,63.875,67.5,79.625,36.875,46.875,63.25,84.875,74.25,42.5,62.875,50.875,64.75
838,26.5,37.375,41.625,45.5,40.5,27.75,22,28,32.625,40.625,49.125,49.625,34.625,45.375,58.875,41,27.125,35.875,65.375,57.5,66.25,75.375,37.125,42.75,61,NA,NA,29.375,55.5,59.625,50.875
839,35.625,40.25,40.625,41.25,37,31.25,25.375,30.375,51.125,46.167,49.875,46.5,37.125,42.5,43,39.25,34.875,33.625,72.5,62,74.75,77.25,43.75,54.75,61.5,80.125,56.75,25.875,38.625,46.25,50.375
840,45,52.25,43.125,35.375,44.5,27.125,28.625,42.375,53.25,21,18.375,NA,NA,NA,NA,19,23.375,32,39.875,45.75,38.25,48.5,58.75,52.875,45.625,56.429,59.75,51.75,38.5,35.25,27.125
841,63,68.125,42.5,43.875,40.75,37.625,25.25,71.875,69.125,25.25,18.875,38.75,39.75,54.857,48.875,35.25,23.25,34.125,48.25,53.875,47,49.125,NA,NA,63.375,77.5,69.625,64.571,35.125,46.5,37.625
842,34.75,53.625,44.375,41.5,31.875,34.714,27.875,39.375,21.125,6.125,12.75,23.625,27,36.75,30.375,39.875,22.25,26.25,24.125,27.333,32.5,40.125,39,44.375,56.5,62.875,64.833,60.875,28.875,35.25,21
843,44.875,58.75,50.5,40.375,38,45.875,28.25,50.375,21.125,8.875,13.625,21.5,39.75,40.5,51.125,48.25,25,19.875,16.5,15.125,30.125,44.125,44.5,53.125,58.125,NA,68.25,68.875,29.5,40.25,22.25
844,50.75,47.875,41.75,39.5,45.75,48.143,25.25,48.125,55.625,33.25,20.875,47.25,47.25,48.25,54.25,35,25,43.25,50.875,37.167,40.125,50.5,50.625,54.375,71.25,64.75,69.625,64.286,34.75,41,31.25
845,46,63,40.125,35.875,39.375,36,30.5,42.75,61.5,31.875,18.5,32.125,27.125,37.75,29.625,20.625,24.5,32.125,40.75,43.375,46.25,44.5,72.25,59.625,54.25,77.75,58,NA,46.25,34.75,32.625
846,49.375,57.5,36.875,37.75,43.5,48.5,44.25,44.875,53.75,22.875,13.125,31.375,39.5,38.375,36.25,36.875,28.625,34.5,39.25,53.5,51.75,52.125,59.125,60.75,64.125,62.833,70.375,73.25,49.875,28.75,33.875
847,67.75,51.75,41.5,36.375,20,25.875,27.25,37.25,32.625,NA,NA,NA,NA,NA,26.375,NA,NA,NA,45.333,41,NA,NA,54.75,51.5,NA,NA,NA,NA,43.625,31.625,28
848,46.5,49.25,46.5,37.5,29.125,27.75,32.5,53.5,48.75,36.125,18.75,31.5,47.75,42,36.75,25.75,19.75,27,30,32.375,31,62,58.625,49.125,42.125,48.5,NA,53.25,39.125,35.75,34.75
849,52.5,49.75,39.5,44.875,36.75,31.875,25.625,53.625,60.125,23.375,19.375,38.125,48.125,56.5,47.875,35.625,20.875,33.125,46.125,42.875,42.5,43.75,59.375,59.625,57,59.875,55.75,NA,43.75,45,39.125
850,67.125,52.5625,41.0625,40.6875,36.375,NA,36.3125,44.223,56.375,18.25,19.875,48.5,31.0625,43.6875,35.4375,37.0625,25.9375,34.0415,54.5625,64.9375,52.875,NA,60.5625,61.75,67.25,86.1875,83.6875,80.9375,53.5,31.5,32.5625
851,NA,49.875,38.125,31.5,25.625,29.625,36.167,56.25,38.375,13.5,16.625,26.375,NA,NA,NA,25.833,26.75,32.625,31,39.333,49.125,42,47.25,52.25,51,59.429,NA,59.5,41.375,22.375,22.25
852,61.5,58.125,43.75,47.375,50.875,56.5,28.625,66.125,67.125,29.625,17.125,46.375,46.75,52,55.75,NA,NA,NA,NA,52.375,51.375,61.75,54.875,61.375,82.875,80.75,86.375,75,36.625,42.875,37.75
853,43.875,45.125,39.625,36.25,41.25,39.125,28.875,43.5,50.5,17.75,16.625,33.875,28.25,37.125,30.875,21.75,22.125,32.25,42.5,45.125,42.875,49.875,68.25,50,52.25,77,61.75,58.5,37,29.75,29.125
854,46.875,65.125,40.5,35.875,37.125,31.25,30.5,42.5,53.25,33.875,17,27.625,NA,NA,26.875,18.5,23.75,26,31.714,34.25,49.625,45.5,65.375,50.75,55.125,64.125,54.5,64.75,36.375,30.5,28.625
855,52.375,63,51.875,48.125,55.75,68.375,60.5,65.875,71.875,63.375,53.875,51.571,59.25,56.375,51,67,51,46.429,64.375,60.875,71.875,71,69.375,64.375,42.75,31.875,48.25,51,59.625,62.25,58.25
856,47.125,56.75,54.75,39.75,44.875,54.286,60.125,59.125,65.25,67.25,57,41.5,41.143,66.875,59.375,61.25,56.125,41.125,57.125,47.143,55.25,43.375,48.125,44.625,40.75,19.75,34.286,42,41.375,52.875,53.875
857,58.5,49,36.5,53.125,42.75,30.875,26.5,58.625,68.375,58.625,14.571,61.75,49.5,44.75,46.25,34,27.75,30.25,34.714,37.5,44.25,54,60.375,62.625,61.857,65.429,51.25,44.75,51.25,53.5,52.125
858,61.375,71.875,57.25,45.625,47.125,31.375,40.75,63.75,64.75,55.625,31.375,43.5,55.375,51.75,47.25,31.25,28.625,40.375,38.5,53.125,58.625,68.25,71.125,70.5,86.25,79.625,58.5,56.75,58.125,47.75,46.875
